,No.,Activity / Attraction,Category,Postcode,District/Borough,City,Latitude,Longitude,Cat1,Cat2,Popularity
122,123,Sandford Lasher Memorial,historic:memorial,OX4 4XZ,Sandford-on-Thames,South Oxfordshire,51.7114317,-1.2353325,historic,memorial,1
123,124,Cecil Jackson-Cole,historic:memorial,OX1 3BS,City Centre,Oxford,51.7541705,-1.2572477,historic,memorial,5
124,125,Last Bookshop,shop:books,OX1 3AE,City Centre,Oxford,51.7548504,-1.2593065,shop,books,1
125,126,Christian Cole,historic:memorial,OX1 4BH,City Centre,Oxford,51.7523193,-1.2511788,historic,memorial,3
126,127,William Wilkinson,historic:memorial,OX1 2LW,City Centre,Oxford,51.7549752,-1.2603317,historic,memorial,4
127,128,Olive Gibbs,historic:memorial,OX1 1NP,City Centre,Oxford,51.7511848,-1.2659757,historic,memorial,4
128,129,Pembroke Art,tourism:gallery,OX1 1QN,City Centre,Oxford,51.7498638,-1.2585622,tourism,gallery,1
129,130,Oxford Blue,shop:gift,OX1 1RA,City Centre,Oxford,51.7489603,-1.2567691,shop,gift,1
130,131,Boyle and Hooke,historic:memorial,OX1 4BJ,City Centre,Oxford,51.7526176,-1.2524427,historic,memorial,5
131,132,Blackwell's Oxford,shop:books,OX1 3BS,City Centre,Oxford,51.7545945,-1.2557123,shop,books,4
132,133,Harris Manchester College Library,amenity:library,OX1 3TD,City Centre,Oxford,51.7559753,-1.2519361,amenity,library,4
133,134,Rhoda Broughton,historic:memorial,OX3 0FJ,Headington,Oxford,51.7547853,-1.2274382,historic,memorial,1
134,135,Welcome to Iffley Meadows,tourism:information,OX4 4EJ,Iffley,Oxford,51.7287327,-1.2409984,tourism,information,1
135,136,Turl Street / High Street,tourism:information,OX1 4AG,City Centre,Oxford,51.7523275,-1.2557774,tourism,information,3
136,137,Acer Nethercott,historic:memorial,OX1 4PS,South Oxford,Oxford,51.741907,-1.2493503,historic,memorial,1
137,138,John Henry Brookes,historic:memorial,OX3 7DX,Headington,Oxford,51.7516429,-1.2057926,historic,memorial,5
138,139,Irvine Memorial,historic:memorial,OX1 4JD,City Centre,Oxford,51.7504881,-1.252787,historic,memorial,2
139,140,John Thompson Memorial Stone,historic:memorial,OX2 6TQ,Summertown,Oxford,51.7689439,-1.2767364,historic,memorial,3
140,141,Regent's Park College Library,amenity:library,OX1 2NF,City Centre,Oxford,51.756739,-1.26139,amenity,library,5
141,142,Oxford City Football Club,leisure:sports_centre,OX3 0NQ,Old Marston,Oxford,51.7742227,-1.2286052,leisure,sports_centre,5
142,143,Tank Bridge,tourism:viewpoint,OX2 0NJ,Oxfordshire,Oxford,51.7625431,-1.279014,tourism,viewpoint,3
143,144,Eye-wash Hill,tourism:viewpoint,OX1 5EP,Oxfordshire,Vale of White Horse,51.7246835,-1.2891847,tourism,viewpoint,3
144,145,Incredible Oxford,shop:gift,OX1 3EY,City Centre,Oxford,51.753032,-1.2585057,shop,gift,4
145,146,Anthony à Wood,historic:memorial,OX1 4EX,City Centre,Oxford,51.7514477,-1.2518891,historic,memorial,4
146,147,Prison A Wing,historic:memorial,OX1 1AZ,City Centre,Oxford,51.7515634,-1.2629687,historic,memorial,4
147,148,Prison Debtors' Tower,historic:memorial,OX1 1AZ,City Centre,Oxford,51.7517174,-1.2629509,historic,memorial,5
148,149,The Perimeter Wall at Oxford Prison,historic:memorial,OX1 1AZ,City Centre,Oxford,51.7518432,-1.2628952,historic,memorial,2
149,150,"Archaeology, the Castle Ditch, and its skeletons",historic:memorial,OX1 1AY,City Centre,Oxford,51.7519752,-1.2626442,historic,memorial,1
150,151,Vaulted Well Chamber,historic:memorial,OX1 1AZ,City Centre,Oxford,51.7521509,-1.2629871,historic,memorial,5
151,152,Kennington War Memorial,historic:memorial,OX1 5LY,Oxfordshire,Vale of White Horse,51.7164008,-1.2453975,historic,memorial,4
152,153,Evnomia Chambers,amenity:library,OX1 1NF,City Centre,Oxford,51.752011,-1.2610399,amenity,library,3
153,154,Goodman Library,amenity:library,OX1 2DR,City Centre,Oxford,51.7532218,-1.2591887,amenity,library,2
154,155,Percy Manning,historic:memorial,OX2 7EP,Summertown,Oxford,51.7790987,-1.2653386,historic,memorial,1
